Time,Value
0.521,-0.612908
0.522,-0.637424
0.523,-0.661312
0.524,-0.684547
0.525,-0.707106
0.526,-0.728969
0.527,-0.750111
0.528,-0.770513
0.529,-0.790155
0.53,-0.809016
0.531,-0.827081
0.532,-0.844328
0.533,-0.860742
0.534,-0.876306
0.535,-0.891007
0.536,-0.904827
0.537,-0.917755
0.538,-0.929776
0.539,-0.94088
0.54,-0.951057
0.541,-0.960294
0.542,-0.968583
0.543,-0.975917
0.544,-0.982287
0.545,-0.987688
0.546,-0.992115
0.547,-0.995562
0.548,-0.998027
0.549,-0.999507
0.55,-1
0.551,-0.999507
0.552,-0.998027
0.553,-0.995562
0.554,-0.992115
0.555,-0.987688
0.556,-0.982287
0.557,-0.975917
0.558,-0.968583
0.559,-0.960294
0.56,-0.951056
0.561,-0.940881
0.562,-0.929777
0.563,-0.917754
0.564,-0.904827
0.565,-0.891007
0.566,-0.876307
0.567,-0.860742
0.568,-0.844328
0.569,-0.82708
0.57,-0.809017
0.571,-0.790155
0.572,-0.770513
0.573,-0.750111
0.574,-0.728969
0.575,-0.707107
0.576,-0.684548
0.577,-0.661311
0.578,-0.637424
0.579,-0.612907
0.58,-0.587786
0.581,-0.562084
0.582,-0.535826
0.583,-0.509041
0.584,-0.481754
0.585,-0.453991
0.586,-0.425779
0.587,-0.397148
0.588,-0.368125
0.589,-0.338738
0.59,-0.309018
0.591,-0.27899
0.592,-0.24869
0.593,-0.218143
0.594,-0.187382
0.595,-0.156434
0.596,-0.125333
0.597,-0.0941082
0.598,-0.0627908
0.599,-0.0314115
0.6,7.49014e-07
0.601,0.0314111
0.602,0.0627905
0.603,0.0941079
0.604,0.125332
0.605,0.156435
0.606,0.187382
0.607,0.218143
0.608,0.248689
0.609,0.278992
0.61,0.309017
0.611,0.338738
0.612,0.368124
0.613,0.397147
0.614,0.42578
0.615,0.453991
0.616,0.481754
0.617,0.509041
0.618,0.535826
0.619,0.562084
0.62,0.587785
0.621,0.612907
0.622,0.637423
0.623,0.661312
0.624,0.684547
0.625,0.707107
0.626,0.728968
0.627,0.750111
0.628,0.770514
0.629,0.790155
0.63,0.809017
0.631,0.82708
0.632,0.844328
0.633,0.860742
0.634,0.876307
0.635,0.891006
0.636,0.904827
0.637,0.917755
0.638,0.929777
0.639,0.940881
0.64,0.951056
0.641,0.960293
0.642,0.968583
0.643,0.975917
0.644,0.982287
0.645,0.987688
0.646,0.992115
0.647,0.995562
0.648,0.998027
0.649,0.999507
0.65,1
0.651,0.999507
0.652,0.998027
0.653,0.995562
0.654,0.992115
0.655,0.987688
0.656,0.982287
0.657,0.975917
0.658,0.968583
0.659,0.960294
0.66,0.951056
0.661,0.940881
0.662,0.929776
0.663,0.917755
0.664,0.904827
0.665,0.891006
0.666,0.876307
0.667,0.860742
0.668,0.844328
0.669,0.82708
0.67,0.809017
0.671,0.790155
0.672,0.770513
0.673,0.750112
0.674,0.728968
0.675,0.707107
0.676,0.684547
0.677,0.661312
0.678,0.637425
0.679,0.612907
0.68,0.587785
0.681,0.562084
0.682,0.535827
0.683,0.509041
0.684,0.481753
0.685,0.45399
0.686,0.42578
0.687,0.397149
0.688,0.368124
0.689,0.338738
0.69,0.309017
0.691,0.278992
